Module                  Size  Used by
ntfs3                 360448  0
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               118784  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
qrtr                   57344  2
xt_MASQUERADE          16384  2
xt_mark                12288  2
nft_chain_nat          12288  2
nf_nat                 65536  2 nft_chain_nat,xt_MASQUERADE
ccm                    20480  9
af_packet              65536  6
cmac                   12288  5
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   28672  2
snd_hda_codec_realtek   225280  1
snd_hda_codec_generic   118784  1 snd_hda_codec_realtek
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
msr                    12288  0
joydev                 28672  0
mousedev               24576  0
intel_uncore_frequency    12288  0
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
intel_pmc_core_pltdrv    12288  0
intel_pmc_core        126976  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
snd_sof_pci_intel_skl    28672  0
snd_sof_intel_hda_generic    45056  1 snd_sof_pci_intel_skl
soundwire_intel        86016  1 snd_sof_intel_hda_generic
soundwire_cadence      49152  1 soundwire_intel
snd_sof_intel_hda_common   204800  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
snd_soc_hdac_hda       28672  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    36864  3 soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      20480  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_hda_codec_hdmi     98304  1
nls_iso8859_1          12288  1
nls_cp437              16384  1
snd_sof_pci            24576  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
vfat                   24576  1
fat                   114688  1 vfat
snd_sof               483328  5 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_skl
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   126976  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
rmi_smbus              16384  0
soundwire_generic_allocation    12288  1 soundwire_intel
rmi_core               94208  1 rmi_smbus
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus         155648  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
intel_tcc_cooling      12288  0
snd_soc_avs           245760  0
x86_pkg_temp_thermal    16384  0
intel_powerclamp       20480  0
snd_soc_hda_codec      28672  1 snd_soc_avs
iTCO_wdt               16384  0
coretemp               20480  0
crct10dif_pclmul       12288  1
intel_pmc_bxt          16384  1 iTCO_wdt
iwlmvm                679936  0
mei_wdt                16384  0
crc32_pclmul           12288  0
snd_hda_ext_core       36864  6 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
think_lmi              36864  0
polyval_clmulni        12288  0
ee1004                 16384  0
watchdog               49152  2 iTCO_wdt,mei_wdt
mei_pxp                20480  0
mei_hdcp               28672  0
intel_rapl_msr         20480  0
i915                 4657152  15
firmware_attributes_class    12288  1 think_lmi
wmi_bmof               12288  0
intel_wmi_thunderbolt    16384  0
